neighbourhood_cleansed,Overall average
Barking and Dagenham,4.653825478645066
Barnet,4.687940729483283
Bexley,4.665923240938167
Brent,4.672225896531452
Bromley,4.724642250788261
Camden,4.660388143742883
City of London,4.630637254901961
Croydon,4.64821056899581
Ealing,4.681267120181405
Enfield,4.672979094076655
Greenwich,4.680359697527079
Hackney,4.7633667872212175
Hammersmith and Fulham,4.707950156708119
Haringey,4.723253650974953
Harrow,4.656542386185243
Havering,4.7208185053380785
Hillingdon,4.620834645669292
Hounslow,4.647727708533078
Islington,4.729368986983588
Kensington and Chelsea,4.671180034918352
Kingston upon Thames,4.802522448979592
Lambeth,4.74914293527091
Lewisham,4.716847417667428
Merton,4.756378833932025
Newham,4.6487299640886395
Redbridge,4.666701999518188
Richmond upon Thames,4.837867849495258
Southwark,4.709730762029583
Sutton,4.7239732142857145
Tower Hamlets,4.649630341244283
Waltham Forest,4.72741064245489
Wandsworth,4.771999208060187
Westminster,4.653675157194922
